Mass	Nams	qb	qm	qc	qh	qp
212.07507	"N-Butylbenzenesulfonamide CON00047"	FALSE	FALSE	FALSE	FALSE	FALSE
212.9792	"PTFE6 Den"	TRUE	FALSE	TRUE	TRUE	FALSE
218.97585	HCOOHHCOONaH2O[CO2]2	FALSE	FALSE	FALSE	FALSE	FALSE
220.88734	"ClO4 + NaClO4"	FALSE	TRUE	TRUE	TRUE	FALSE
222.88439	"ClO4 + NaClO4+Iso"	FALSE	FALSE	FALSE	FALSE	FALSE
223.0278	"PTFE6 Den"	TRUE	TRUE	FALSE	TRUE	FALSE
226.97845	"Trifluoroacetic acid CON00117"	FALSE	FALSE	FALSE	FALSE	FALSE
239.07685	[(CH3COOH)3+CH3COO]-	FALSE	TRUE	FALSE	FALSE	FALSE
248.9604	"Trifluoroacetic acid CON00117"	TRUE	TRUE	TRUE	FALSE	FALSE
248.96047	"Formate cluster C4H5Na3O8"	FALSE	TRUE	TRUE	FALSE	FALSE
249.96383	"Formate cluster C4H5Na3O8 +C13"	FALSE	TRUE	FALSE	TRUE	FALSE
249.96767	"sodium trifluoroacetate Den"	FALSE	FALSE	FALSE	FALSE	FALSE
249.96775	"sodium formate Den"	FALSE	FALSE	FALSE	FALSE	FALSE
255.23295	"Palmitic acid CON00055"	TRUE	TRUE	TRUE	TRUE	TRUE
265.1479	SDS	TRUE	TRUE	TRUE	TRUE	TRUE
266.99698	[HCOOH]3HCOONaH2OCO2	FALSE	TRUE	FALSE	FALSE	FALSE
279.1636	SDS+14	TRUE	TRUE	TRUE	TRUE	TRUE
281.2486	"Oleic acid CON00054"	TRUE	TRUE	TRUE	TRUE	TRUE
283.26425	"Stearic acid CON00106"	TRUE	TRUE	TRUE	TRUE	TRUE
288.95298	[HCOONa]4H2O	FALSE	TRUE	FALSE	FALSE	FALSE
290.93465	[HCOONa]3[CO2]2	FALSE	FALSE	FALSE	FALSE	FALSE
301.99814	"CalAgilent DEn"	FALSE	FALSE	FALSE	FALSE	FALSE
305.0345	PTFE8	FALSE	FALSE	FALSE	FALSE	FALSE
316.7391	"Copper catalyst iodide adduct (63Cu(I)) CON00013"	FALSE	FALSE	FALSE	FALSE	FALSE
316.9479	"Formate cluster C5H6Na4O10"	FALSE	TRUE	TRUE	FALSE	FALSE
317.95125	"Formate cluster C5H6Na4O10 +C13"	FALSE	TRUE	FALSE	FALSE	FALSE
317.95517	"sodium formate Den"	FALSE	FALSE	FALSE	FALSE	FALSE
318.73729	"Copper catalyst iodide adduct (65Cu(I)) CON00014"	FALSE	FALSE	FALSE	FALSE	FALSE
321.2105	SDS+28	TRUE	TRUE	TRUE	TRUE	TRUE
341.97859	"trifluoroacetic acid dimer Den"	FALSE	FALSE	FALSE	FALSE	FALSE
358.92208	[HCOONa]4[CO2]2	FALSE	FALSE	FALSE	FALSE	FALSE
384.93532	"Formate cluster C6H7Na5O12"	FALSE	TRUE	FALSE	FALSE	FALSE
385.93868	"Formate cluster C6H7Na5O12 +C13"	FALSE	TRUE	FALSE	FALSE	FALSE
385.94248	"sodium trifluoroacetate Den"	FALSE	FALSE	FALSE	FALSE	FALSE
387.0421	PTFE10	FALSE	FALSE	FALSE	FALSE	FALSE
407.2803	"Cholic acid"	FALSE	TRUE	TRUE	TRUE	FALSE
452.92274	"Formate cluster C7H8Na6O14"	FALSE	TRUE	FALSE	FALSE	FALSE
453.9261	"Formate cluster C7H8Na6O14 +C13"	FALSE	FALSE	FALSE	FALSE	FALSE
455.97146	"trifluoroacetic acid"	FALSE	FALSE	FALSE	FALSE	FALSE
468.3265	GCA-ISTD	TRUE	TRUE	TRUE	TRUE	TRUE
469.043	"PTFE12 Den"	FALSE	FALSE	TRUE	FALSE	FALSE
514.2844	TCA	FALSE	TRUE	TRUE	TRUE	FALSE
520.91017	"Formate cluster C8H9Na7O16"	FALSE	TRUE	TRUE	FALSE	FALSE
521.91352	"Formate cluster C8H9Na7O16 +C13"	FALSE	FALSE	TRUE	FALSE	FALSE
521.91729	"sodium trifluoroacetate Den"	FALSE	FALSE	TRUE	FALSE	FALSE
551.034	"PTFE14 Den"	FALSE	FALSE	FALSE	FALSE	FALSE
569.96432	"trifluoroacetic acid dimer Den"	FALSE	FALSE	FALSE	FALSE	FALSE
588.89759	"Formate cluster C9H10Na8O18"	FALSE	TRUE	FALSE	FALSE	FALSE
589.90095	"Formate cluster C9H10Na8O18 +C13"	FALSE	FALSE	FALSE	FALSE	FALSE
601.97898	"CalAgilent DEn"	FALSE	FALSE	FALSE	FALSE	FALSE
656.88501	"Formate cluster C10H11Na9O20"	FALSE	FALSE	FALSE	FALSE	FALSE
657.88837	"Formate cluster C10H11Na9O20 +C13"	FALSE	FALSE	FALSE	FALSE	FALSE
